,ID,TMC,Severity,Start_Time,End_Time,City,County,State,Zipcode,Country,Temperature(F),Visibility(mi),Wind_Speed(mph),Precipitation(in),Weather_Condition,Sunrise_Sunset,Stop,Traffic_Signal,Weekday,Month,Day,Year,Season
514,A-533071,201,3,2020-12-15,2020-12-15,Phoenix,Maricopa,AZ,85006,US,56.0,10.0,0.0,0.0,Fair,Night,False,False,Tuesday,12,15,2020,Winter
516,A-533073,201,2,2020-12-15,2020-12-15,Scottsdale,Maricopa,AZ,85256,US,56.0,10.0,0.0,0.0,Fair,Night,False,False,Tuesday,12,15,2020,Winter
517,A-533074,201,2,2020-12-15,2020-12-15,Mesa,Maricopa,AZ,85209,US,52.0,10.0,3.0,0.0,Fair,Night,False,False,Tuesday,12,15,2020,Winter
519,A-534643,201,2,2020-12-14,2020-12-14,Surprise,Maricopa,AZ,85378,US,41.0,10.0,5.0,0.0,Fair,Day,False,True,Monday,12,14,2020,Winter
521,A-534645,201,2,2020-12-14,2020-12-14,Peoria,Maricopa,AZ,85382,US,43.0,10.0,3.0,0.0,Mostly Cloudy,Night,False,True,Monday,12,14,2020,Winter
522,A-534646,201,2,2020-12-14,2020-12-14,Phoenix,Maricopa,AZ,85009,US,49.0,10.0,6.0,0.0,Mostly Cloudy,Night,False,False,Monday,12,14,2020,Winter
524,A-534648,201,2,2020-12-14,2020-12-14,Phoenix,Maricopa,AZ,85043,US,41.0,10.0,8.0,0.0,Fair,Night,False,True,Monday,12,14,2020,Winter
525,A-534649,201,2,2020-12-14,2020-12-14,Phoenix,Maricopa,AZ,85043,US,41.0,10.0,8.0,0.0,Fair,Night,False,False,Monday,12,14,2020,Winter
526,A-534650,201,3,2020-12-14,2020-12-14,Phoenix,Maricopa,AZ,85043,US,41.0,10.0,8.0,0.0,Fair,Night,False,False,Monday,12,14,2020,Winter
527,A-534651,201,3,2020-12-14,2020-12-14,Phoenix,Maricopa,AZ,85003,US,47.0,10.0,7.0,0.0,Mostly Cloudy,Night,False,True,Monday,12,14,2020,Winter
528,A-534652,201,2,2020-12-14,2020-12-14,Phoenix,Maricopa,AZ,85086,US,43.0,10.0,0.0,0.0,Fair,Night,False,True,Monday,12,14,2020,Winter
